product_id,title,review_text,sentiment,image,price,soldCnt,ratingNumber,rating_score,shop_name,product_url,scenario
1649019273,Quần jean nam quảng châu SIÊU CẤP phối họa tiết rách đẹp chất thời trang chất vải bò nhập co dãn tốt chuẩn phong cách shop,"quần rách bao ngầu luôn m ơi, mặc lên cháy phố thoy 🔥",positive,https://img.lazcdn.com/g/ot/common/9fb839e66cd54c80a5caff17aaf08893.png_720x720q80.png_.webp,159000.0,364,94,4.8,Quang_thời_trang,https://www.lazada.vn/products/pdp-i1649019273.html,Normal
1649019273,Quần jean nam quảng châu SIÊU CẤP phối họa tiết rách đẹp chất thời trang chất vải bò nhập co dãn tốt chuẩn phong cách shop,"chất jean xịn xò phết, co giãn ngon ơ, t ưng nha",positive,https://img.lazcdn.com/g/ot/common/9fb839e66cd54c80a5caff17aaf08893.png_720x720q80.png_.webp,159000.0,364,94,4.8,Quang_thời_trang,https://www.lazada.vn/products/pdp-i1649019273.html,Normal
1649019273,Quần jean nam quảng châu SIÊU CẤP phối họa tiết rách đẹp chất thời trang chất vải bò nhập co dãn tốt chuẩn phong cách shop,"form chuẩn đét, mặc lên nhìn keo lỳ lắmmmm",positive,https://img.lazcdn.com/g/ot/common/9fb839e66cd54c80a5caff17aaf08893.png_720x720q80.png_.webp,159000.0,364,94,4.8,Quang_thời_trang,https://www.lazada.vn/products/pdp-i1649019273.html,Normal
1649019273,Quần jean nam quảng châu SIÊU CẤP phối họa tiết rách đẹp chất thời trang chất vải bò nhập co dãn tốt chuẩn phong cách shop,"siêu cấp vip pro nha, rách nghệ vãi 💯",positive,https://img.lazcdn.com/g/ot/common/9fb839e66cd54c80a5caff17aaf08893.png_720x720q80.png_.webp,159000.0,364,94,4.8,Quang_thời_trang,https://www.lazada.vn/products/pdp-i1649019273.html,Normal
1649019273,Quần jean nam quảng châu SIÊU CẤP phối họa tiết rách đẹp chất thời trang chất vải bò nhập co dãn tốt chuẩn phong cách shop,"mua mặc thử mà ghiền luôn, hack dáng cực kì",positive,https://img.lazcdn.com/g/ot/common/9fb839e66cd54c80a5caff17aaf08893.png_720x720q80.png_.webp,159000.0,364,94,4.8,Quang_thời_trang,https://www.lazada.vn/products/pdp-i1649019273.html,Normal
1649019273,Quần jean nam quảng châu SIÊU CẤP phối họa tiết rách đẹp chất thời trang chất vải bò nhập co dãn tốt chuẩn phong cách shop,"quần này mix với áo oversize là đúng bài, slayyy",positive,https://img.lazcdn.com/g/ot/common/9fb839e66cd54c80a5caff17aaf08893.png_720x720q80.png_.webp,159000.0,364,94,4.8,Quang_thời_trang,https://www.lazada.vn/products/pdp-i1649019273.html,Normal
1649019273,Quần jean nam quảng châu SIÊU CẤP phối họa tiết rách đẹp chất thời trang chất vải bò nhập co dãn tốt chuẩn phong cách shop,"giao hàng lẹ, quần y hình, okla m nha",positive,https://img.lazcdn.com/g/ot/common/9fb839e66cd54c80a5caff17aaf08893.png_720x720q80.png_.webp,159000.0,364,94,4.8,Quang_thời_trang,https://www.lazada.vn/products/pdp-i1649019273.html,Normal
1649019273,Quần jean nam quảng châu SIÊU CẤP phối họa tiết rách đẹp chất thời trang chất vải bò nhập co dãn tốt chuẩn phong cách shop,"vải bò mềm ko bị cứng đơ đâu, mặc thích",positive,https://img.lazcdn.com/g/ot/common/9fb839e66cd54c80a5caff17aaf08893.png_720x720q80.png_.webp,159000.0,364,94,4.8,Quang_thời_trang,https://www.lazada.vn/products/pdp-i1649019273.html,Normal
1649019273,Quần jean nam quảng châu SIÊU CẤP phối họa tiết rách đẹp chất thời trang chất vải bò nhập co dãn tốt chuẩn phong cách shop,shop đóng gói sơ sài quá t k ưng nha,negative,https://img.lazcdn.com/g/ot/common/9fb839e66cd54c80a5caff17aaf08893.png_720x720q80.png_.webp,159000.0,364,94,4.8,Quang_thời_trang,https://www.lazada.vn/products/pdp-i1649019273.html,Normal
1649019273,Quần jean nam quảng châu SIÊU CẤP phối họa tiết rách đẹp chất thời trang chất vải bò nhập co dãn tốt chuẩn phong cách shop,"quần hơi nhiều chỉ thừa, phải ngồi cắt mỏi tay thoy",negative,https://img.lazcdn.com/g/ot/common/9fb839e66cd54c80a5caff17aaf08893.png_720x720q80.png_.webp,159000.0,364,94,4.8,Quang_thời_trang,https://www.lazada.vn/products/pdp-i1649019273.html,Normal
